ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,label
54,1.0,1.0,0.0,119.0,239.0,239.0,99.0,112.5544,136.0588,104.7378,19.6977,8.3815,239.0,239.0,1.0,99.0,0.0,0.0,0.1402,0.2407,0.0347,6.0,7.0,3.0,0.0
55,1.0,1.0,0.0,119.0,99.0,99.0,80.0,195.829,233.0048,165.469,33.5596,36.7764,99.0,99.0,0.0,0.0,0.0,318.0,0.1034,0.2229,0.0304,6.0,2.0,2.0,1.0
56,1.0,1.0,1.0,140.0,179.0,179.0,179.0,76.2053,101.2139,21.4709,66.7308,97.0696,179.0,179.0,0.0,0.0,0.0,20.0,0.1217,1.4162,0.0185,8.0,6.0,3.0,2.0
57,1.0,1.0,0.0,179.0,139.0,139.0,219.0,111.1227,44.3424,104.8094,45.763,57.1183,139.0,139.0,0.0,0.0,0.0,0.0,0.2893,0.2493,0.0437,6.0,9.0,1.0,0.0
58,1.0,1.0,0.0,179.0,219.0,219.0,219.0,127.4333,124.5251,70.2567,63.561,71.0634,219.0,219.0,0.0,0.0,0.0,0.0,0.5746,0.5746,0.0183,7.0,10.0,4.0,2.0
59,1.0,1.0,0.0,80.0,139.0,139.0,258.0,427.7341,107.0187,464.2984,47.9505,46.6476,139.0,139.0,0.0,0.0,0.0,0.0,0.0073,0.2033,0.0288,5.0,7.0,1.0,0.0
60,1.0,1.0,0.0,199.0,338.0,338.0,278.0,118.5591,106.0189,78.1089,46.0435,53.106,338.0,338.0,0.0,0.0,0.0,0.0,0.4881,0.4981,0.0766,3.0,6.0,2.0,0.0
61,1.0,1.0,1.0,318.0,278.0,278.0,199.0,113.8178,0.0,131.3811,28.9698,40.078,338.0,338.0,0.0,0.0,0.0,1272.0,0.4152,0.4152,0.0423,8.0,6.0,1.0,2.0
62,1.0,1.0,1.0,219.0,179.0,179.0,259.0,95.3795,342.2353,53.1601,42.9535,77.1379,179.0,179.0,5.0,14824.0,0.0,3984.0,0.3635,0.6905,0.0045,5.0,2.0,3.0,0.0
63,1.0,0.0,1.0,199.0,159.0,159.0,159.0,320.5016,347.13,262.7622,62.5799,72.0694,159.0,159.0,0.0,0.0,0.0,0.0,-0.0242,-0.0242,0.0426,7.0,2.0,4.0,2.0
64,2.0,0.0,1.0,238.0,139.0,238.0,80.0,103.2049,170.793,43.0116,71.007,28.7793,238.0,119.0,0.0,0.0,1.0,159.0,0.0845,0.0545,0.0299,5.0,4.0,4.0,1.0
65,2.0,1.0,0.0,119.0,139.0,219.0,139.0,162.5123,664.3087,99.0454,56.6414,66.5676,219.0,109.5,0.0,0.0,0.0,0.0,0.0677,-0.0508,0.0676,5.0,9.0,2.0,0.0
66,1.0,1.0,1.0,199.0,279.0,279.0,199.0,135.9458,338.634,231.2163,96.6863,97.0155,219.0,219.0,4.0,11655.0,1.0,4861.0,0.335,1.0685,0.0055,5.0,6.0,2.0,1.0
67,1.0,1.0,1.0,159.0,80.0,80.0,139.0,251.3663,526.9957,328.0747,82.1234,73.6648,199.0,199.0,0.0,0.0,0.0,716.0,0.1167,0.1927,0.0287,8.0,6.0,5.0,2.0
68,3.0,1.0,0.0,139.0,80.0,379.0,80.0,411.5368,164.6003,437.7785,29.9666,116.5097,379.0,126.3333,0.0,0.0,0.0,0.0,0.075,0.1765,0.0686,7.0,2.0,1.0,0.0
69,1.0,1.0,0.0,179.0,139.0,139.0,159.0,187.3019,80.878,189.6207,19.4743,43.0726,139.0,139.0,1.0,338.0,0.0,179.0,0.3161,0.2051,0.0079,6.0,7.0,2.0,0.0
70,1.0,1.0,1.0,258.0,99.0,99.0,80.0,97.3242,217.7918,108.4066,35.7246,35.9235,159.0,159.0,1.0,279.0,0.0,418.0,0.0999,0.1649,0.0159,7.0,3.0,1.0,0.0
71,2.0,1.0,0.0,80.0,80.0,319.0,119.0,149.8332,77.1767,193.644,41.2704,52.5,319.0,159.5,0.0,0.0,0.0,0.0,0.3843,0.4623,0.0666,7.0,7.0,1.0,1.0
72,1.0,1.0,0.0,99.0,80.0,80.0,99.0,121.9529,241.0985,64.0312,92.2293,77.8412,80.0,80.0,0.0,0.0,0.0,0.0,0.0934,0.1069,0.027,7.0,2.0,3.0,0.0
73,1.0,1.0,0.0,159.0,99.0,99.0,179.0,163.6719,125.9811,104.1201,51.8483,47.7624,99.0,99.0,0.0,0.0,0.0,0.0,0.048,0.1595,0.0157,5.0,5.0,3.0,1.0
74,1.0,0.0,1.0,299.0,239.0,239.0,259.0,210.7048,114.5098,132.2309,94.7008,94.7259,239.0,239.0,0.0,0.0,1.0,597.0,0.9205,2.47,0.0239,5.0,6.0,3.0,2.0
75,1.0,1.0,1.0,139.0,199.0,199.0,179.0,131.4201,448.0784,53.7587,81.5843,71.7008,199.0,199.0,0.0,0.0,0.0,0.0,0.1636,0.4321,0.0183,4.0,6.0,4.0,1.0
76,1.0,0.0,0.0,20.0,120.0,120.0,239.0,71.3863,327.1395,46.1736,73.1317,62.2013,120.0,120.0,0.0,0.0,0.0,0.0,1.0519,0.6819,0.0283,5.0,2.0,5.0,2.0
77,1.0,1.0,1.0,179.0,139.0,139.0,298.0,86.617,392.8467,129.4681,47.5395,41.6923,139.0,139.0,2.0,1272.0,1.0,139.0,0.1043,0.1533,0.0244,5.0,3.0,4.0,2.0
78,2.0,1.0,1.0,119.0,139.0,278.0,298.0,260.1082,283.893,472.5124,210.0857,193.6453,199.0,199.0,2.0,854.0,0.0,2860.0,0.1086,0.2401,0.0138,5.0,2.0,3.0,1.0
79,1.0,1.0,0.0,99.0,199.0,199.0,99.0,161.6052,169.713,211.4001,48.0937,52.6522,199.0,199.0,0.0,0.0,0.0,0.0,0.1171,0.1461,0.0387,6.0,3.0,2.0,1.0
80,1.0,1.0,0.0,139.0,139.0,139.0,119.0,236.3477,353.0598,95.901,138.0009,118.273,139.0,139.0,0.0,0.0,0.0,339.0,0.2923,0.2953,0.0218,7.0,1.0,2.0,1.0
81,1.0,0.0,1.0,139.0,80.0,80.0,318.0,177.863,438.9727,80.9568,92.2727,102.9527,80.0,80.0,0.0,0.0,0.0,0.0,0.068,-0.1885,0.0143,4.0,3.0,4.0,2.0
82,2.0,1.0,0.0,258.0,119.0,258.0,457.0,92.5662,166.4332,32.573,57.6758,49.5631,258.0,129.0,0.0,0.0,0.0,0.0,0.1127,0.1247,0.0742,7.0,3.0,2.0,1.0
83,1.0,1.0,0.0,0.0,159.0,159.0,199.0,0.0,177.9396,0.0,54.0393,52.6806,159.0,159.0,0.0,0.0,0.0,0.0,0.3704,0.3659,0.026,6.0,1.0,1.0,0.0
84,1.0,1.0,1.0,298.0,139.0,139.0,99.0,494.3099,137.1313,540.0037,51.9351,47.1301,99.0,99.0,1.0,4690.0,0.0,297.0,0.1446,0.1306,0.0069,6.0,7.0,3.0,1.0
85,2.0,1.0,1.0,99.0,139.0,278.0,179.0,163.0376,169.5125,57.3149,136.023,149.5209,557.0,139.25,1.0,1790.0,1.0,557.0,0.0316,0.1231,0.0689,7.0,1.0,6.0,2.0
86,1.0,0.0,1.0,219.0,239.0,239.0,219.0,132.035,122.083,208.787,78.0929,83.4521,279.0,279.0,0.0,0.0,1.0,279.0,1.4382,0.9767,0.0172,3.0,3.0,2.0,0.0
87,1.0,1.0,1.0,179.0,278.0,278.0,159.0,430.4257,120.501,414.4502,96.5984,100.7286,278.0,278.0,0.0,0.0,0.0,0.0,0.1021,0.1171,0.0244,7.0,5.0,1.0,0.0
88,1.0,1.0,1.0,319.0,219.0,219.0,339.0,142.5219,160.5125,128.0625,18.7417,25.5049,219.0,219.0,0.0,0.0,0.0,0.0,0.4872,1.2187,0.0199,6.0,8.0,2.0,1.0
89,1.0,0.0,1.0,139.0,119.0,119.0,179.0,166.1942,111.6882,97.4987,118.6971,78.0144,298.0,149.0,1.0,1849.0,0.0,239.0,0.1625,0.073,0.0441,4.0,3.0,2.0,1.0
90,3.0,1.0,0.0,80.0,80.0,259.0,159.0,269.717,111.3643,364.5161,98.7484,88.411,259.0,86.3333,0.0,0.0,0.0,259.0,0.2853,0.2853,0.0886,4.0,3.0,1.0,1.0
91,1.0,1.0,1.0,0.0,179.0,179.0,80.0,0.0,116.1658,0.0,160.7809,176.1022,179.0,179.0,1.0,218.0,0.0,0.0,0.1067,0.2347,0.0171,7.0,2.0,1.0,0.0
92,1.0,1.0,0.0,99.0,259.0,259.0,119.0,166.503,227.8163,112.1472,59.5189,73.2547,259.0,259.0,0.0,0.0,0.0,0.0,0.085,0.283,0.0221,8.0,8.0,3.0,1.0
93,1.0,1.0,1.0,159.0,179.0,179.0,259.0,133.9888,455.2991,202.0891,65.3911,48.7032,219.0,219.0,0.0,0.0,1.0,2128.0,0.0623,0.3173,0.016,7.0,4.0,1.0,2.0
94,1.0,1.0,0.0,139.0,219.0,219.0,179.0,356.0621,654.3764,432.2615,88.0866,85.856,219.0,219.0,0.0,0.0,0.0,0.0,0.1816,0.3266,0.0501,9.0,2.0,1.0,1.0
95,1.0,0.0,1.0,159.0,179.0,179.0,179.0,288.5212,244.2478,191.1282,96.7536,90.8983,179.0,179.0,0.0,0.0,0.0,358.0,0.0139,0.0089,0.0165,9.0,4.0,3.0,0.0
96,1.0,1.0,0.0,179.0,379.0,379.0,219.0,141.934,130.9208,187.8776,69.5881,104.9011,379.0,379.0,0.0,0.0,0.0,0.0,-0.0924,1.1056,0.0689,5.0,4.0,1.0,0.0
97,1.0,1.0,0.0,80.0,179.0,179.0,179.0,112.5389,83.0858,148.6607,36.8409,53.9189,179.0,179.0,0.0,0.0,1.0,179.0,0.29,0.5515,0.0559,6.0,4.0,1.0,0.0
98,1.0,0.0,1.0,199.0,319.0,319.0,239.0,149.9667,216.6576,119.365,63.9531,90.5124,319.0,319.0,0.0,0.0,0.0,0.0,-0.8588,0.0132,0.027,7.0,3.0,4.0,1.0
99,1.0,1.0,0.0,80.0,179.0,179.0,139.0,229.9418,110.2384,297.901,68.593,59.7181,179.0,179.0,0.0,0.0,1.0,199.0,0.1267,0.1567,0.0191,6.0,6.0,1.0,0.0
100,3.0,1.0,0.0,80.0,100.0,438.0,99.0,139.5726,188.6379,95.2103,58.1055,67.3146,438.0,146.0,0.0,0.0,1.0,438.0,0.2508,0.3023,0.0633,3.0,9.0,2.0,0.0
101,1.0,0.0,1.0,199.0,219.0,219.0,259.0,210.0214,216.0208,107.0047,105.5047,85.0529,219.0,219.0,0.0,0.0,0.0,0.0,-0.1608,0.0647,0.0239,4.0,5.0,2.0,0.0
102,3.0,1.0,0.0,140.0,20.0,478.0,180.0,266.3691,198.0101,421.7321,126.8592,81.6854,478.0,159.3333,0.0,0.0,0.0,0.0,-0.0398,0.9047,0.0405,5.0,8.0,2.0,0.0
103,1.0,1.0,1.0,0.0,259.0,259.0,199.0,97.949,152.7956,133.3304,65.3395,115.1314,239.0,239.0,0.0,0.0,0.0,0.0,0.9556,1.1076,0.0213,6.0,2.0,1.0,1.0
104,2.0,1.0,1.0,99.0,239.0,418.0,139.0,728.7059,129.4025,827.5458,105.5237,78.0577,418.0,209.0,0.0,0.0,1.0,258.0,0.2228,0.4189,0.0635,5.0,7.0,1.0,0.0
105,2.0,0.0,1.0,239.0,219.0,538.0,120.0,122.083,224.6892,114.7563,21.9545,35.5844,219.0,219.0,2.0,3388.0,0.0,219.0,1.4382,0.9767,0.0135,3.0,3.0,3.0,0.0
106,1.0,1.0,0.0,239.0,199.0,199.0,139.0,165.339,128.1327,113.9517,52.0433,50.7568,199.0,199.0,0.0,0.0,0.0,0.0,0.2312,0.2312,0.0231,6.0,9.0,5.0,0.0
107,1.0,1.0,0.0,99.0,139.0,139.0,119.0,698.8664,100.9071,766.9765,70.2567,63.502,139.0,139.0,1.0,119.0,0.0,0.0,0.1201,0.1796,0.0154,10.0,8.0,3.0,1.0
108,1.0,1.0,0.0,119.0,99.0,99.0,80.0,718.9885,235.1436,820.3121,109.638,93.0215,99.0,99.0,0.0,0.0,0.0,0.0,0.2051,0.3536,0.0074,6.0,9.0,1.0,0.0
109,2.0,1.0,0.0,139.0,99.0,179.0,99.0,64.158,117.8357,40.3113,44.0454,51.6841,179.0,89.5,0.0,0.0,0.0,0.0,0.2713,0.3223,0.0571,3.0,2.0,3.0,1.0
110,1.0,1.0,1.0,159.0,100.0,100.0,179.0,194.2022,226.0669,158.4929,50.3016,56.2694,139.0,139.0,0.0,0.0,0.0,0.0,0.1376,0.1376,0.0314,7.0,4.0,4.0,2.0
111,1.0,1.0,0.0,159.0,179.0,179.0,179.0,87.7055,165.0485,44.3847,45.7056,54.2517,179.0,179.0,0.0,0.0,0.0,0.0,0.1437,0.1427,0.0196,10.0,8.0,4.0,1.0
112,1.0,1.0,0.0,119.0,139.0,139.0,99.0,142.1452,615.0246,175.4537,35.9201,50.9141,139.0,139.0,0.0,0.0,0.0,0.0,0.168,0.196,0.0206,7.0,10.0,1.0,0.0
113,1.0,1.0,0.0,159.0,199.0,199.0,80.0,83.1039,203.1976,130.0,117.3925,109.9602,199.0,199.0,0.0,0.0,0.0,199.0,0.1988,0.1813,0.0339,5.0,1.0,1.0,1.0
114,2.0,1.0,1.0,239.0,179.0,259.0,179.0,88.8735,79.1581,165.4237,76.397,62.8013,259.0,129.5,0.0,0.0,1.0,179.0,0.1283,0.2228,0.0393,8.0,6.0,1.0,1.0
115,1.0,1.0,0.0,318.0,238.0,238.0,139.0,409.1314,306.9287,337.926,72.8577,88.7764,238.0,238.0,0.0,0.0,0.0,0.0,0.1942,0.1052,0.0472,6.0,3.0,5.0,0.0
116,1.0,1.0,1.0,139.0,119.0,119.0,179.0,89.0688,73.9003,101.8283,50.0025,46.457,119.0,119.0,1.0,1032.0,0.0,0.0,0.2114,0.0459,0.0194,5.0,9.0,1.0,0.0
117,1.0,1.0,0.0,278.0,239.0,239.0,159.0,159.0637,170.5029,151.0761,11.1018,19.2938,239.0,239.0,0.0,0.0,0.0,0.0,0.2591,0.4046,0.0346,5.0,9.0,3.0,1.0
118,2.0,1.0,0.0,279.0,239.0,458.0,199.0,163.7208,54.1872,183.5211,47.1832,106.6255,458.0,229.0,0.0,0.0,0.0,0.0,2.9684,2.9684,0.181,5.0,3.0,3.0,0.0
119,1.0,0.0,1.0,119.0,139.0,139.0,199.0,199.3847,232.1659,149.7231,56.3205,49.4292,139.0,139.0,0.0,0.0,0.0,139.0,0.0853,0.1678,0.0237,3.0,8.0,2.0,0.0
120,1.0,1.0,1.0,238.0,99.0,99.0,219.0,325.7779,0.0,357.0686,39.2938,42.1545,397.0,198.5,0.0,0.0,0.0,397.0,0.4327,0.4327,0.0888,5.0,8.0,1.0,2.0
121,1.0,1.0,0.0,139.0,99.0,99.0,99.0,194.5925,697.87,203.1576,14.151,15.6605,99.0,99.0,0.0,0.0,0.0,0.0,0.1437,0.2467,0.0084,7.0,6.0,7.0,0.0
122,1.0,1.0,1.0,0.0,100.0,100.0,99.0,0.0,219.2761,0.0,78.339,89.4343,100.0,100.0,0.0,0.0,1.0,417.0,0.0887,0.2037,0.0048,5.0,1.0,1.0,1.0
123,1.0,1.0,0.0,179.0,258.0,258.0,239.0,245.0862,123.2284,247.655,25.6223,32.7452,258.0,258.0,0.0,0.0,0.0,0.0,0.1655,0.269,0.0193,5.0,7.0,3.0,1.0
124,1.0,0.0,1.0,199.0,219.0,219.0,139.0,181.2078,413.0366,49.2443,209.7105,205.8476,219.0,219.0,1.0,139.0,0.0,0.0,0.2338,0.1793,0.0485,5.0,3.0,4.0,1.0
125,1.0,1.0,1.0,119.0,179.0,179.0,139.0,72.5603,130.5345,85.44,37.7127,47.676,179.0,179.0,0.0,0.0,0.0,0.0,-0.0243,0.2532,0.091,4.0,5.0,1.0,2.0
